spec,fe,beta,se,pval,pct,nobs
A: baseline,partner_hs6 + partner_year,0.12941888911083177,0.01920013832717134,1.5896395311187916e-11,13.816678999833897,447688
B: +HS2×year,partner_hs6 + partner_year + hs2_year,0.09162608411817945,0.024203649828702937,0.00015343897398811812,9.595495049509474,447688
C: staggered+HS2yr,partner_hs6 + partner_year + hs2_year,0.08658058878835093,0.023045449841651588,0.0001721279289126354,9.043924135414795,447688
