partner,total_v,total_rows,sanc_v,sanc_rows,sanc_share,post_v,pre_v,growth,exposure_index,iso3
534,0.322,2,0.322,2.0,1.0,,0.322,,1.0,SXM
535,1.455,2,1.455,2.0,1.0,,1.455,,1.0,BES
570,2.118,6,2.118,6.0,1.0,,2.118,,1.0,NIU
574,0.788,2,0.788,2.0,1.0,,0.788,,1.0,NFK
583,1.4,2,1.4,2.0,1.0,,1.4,,1.0,FSM
44,225.132,16,225.132,16.0,1.0,,225.132,,1.0,BHS
316,0.131,1,0.131,1.0,1.0,,0.131,,1.0,GUM
652,0.08,1,0.08,1.0,1.0,,0.08,,1.0,BLM
426,1965.463,23,1965.457,22.0,0.9999969472841769,,1965.463,,0.9999969472841769,LSO
72,28308.897999999997,38,28308.657,30.0,0.9999914867756421,0.624,28308.897999999997,-0.9999706099474448,0.9999914867756421,BWA
580,3.4850000000000003,9,3.484,8.0,0.9997130559540889,,3.4850000000000003,,0.9997130559540889,MNP
584,1812.332,2,1811.71,1.0,0.9996567957747255,,1812.332,,0.9996567957747255,MHL
388,298396.636,46,298190.212,27.0,0.9993082227642808,237797.09,298396.636,0.06255482942732193,0.9993082227642808,JAM
324,376401.929,48,375876.849,27.0,0.998605001835684,,376401.929,,0.998605001835684,GIN
52,3036.2,38,3031.362,23.0,0.9984065608326198,1.661,3036.2,-0.9992705794523856,0.9984065608326198,BRB
226,3471.2419999999997,6,3464.975,4.0,0.9981945943267568,,3471.2419999999997,,0.9981945943267568,GNQ
260,187.61599999999999,4,187.07,2.0,0.9970898004434591,,187.61599999999999,,0.9970898004434591,ATF
148,103.61,23,103.101,21.0,0.9950873467811987,,103.61,,0.9950873467811987,TCD
24,68793.121,196,68442.713,126.0,0.9949063511742694,819.8480000000001,68793.121,-0.9841098840875868,0.9949063511742694,AGO
876,1.189,6,1.1800000000000002,4.0,0.9924306139613122,,1.189,,0.9924306139613122,WLF
728,723.827,77,717.7769999999999,63.0,0.991641649178602,,723.827,,0.991641649178602,SSD
548,68.565,20,67.004,17.0,0.9772332822868811,,68.565,,0.9772332822868811,VUT
659,55.897999999999996,22,53.827,17.0,0.9629503738953094,,55.897999999999996,,0.9629503738953094,KNA
116,815623.811,1131,781232.977,860.0,0.9578349313296347,20399.642,815623.811,-0.9666518776182876,0.9578349313296347,KHM
328,11635.857,114,11140.518,66.0,0.9574299512274859,0.428,11635.857,-0.9999509561980122,0.9574299512274859,GUY
8,76580.87,852,72720.567,668.0,0.9495918105918619,,76580.87,,0.9495918105918619,ALB
662,640.096,18,604.199,13.0,0.9439193495975603,,640.096,,0.9439193495975603,LCA
499,107083.20999999999,402,100093.618,288.0,0.9347274703475924,1205.481,107083.20999999999,-0.984990102556694,0.9347274703475924,MNE
50,4054207.084,1345,3773212.116,924.0,0.9306905241449182,,4054207.084,,0.9306905241449182,BGD
132,128.675,21,119.46000000000001,17.0,0.9283854672624829,,128.675,,0.9283854672624829,CPV
332,2198.248,118,2022.7769999999998,105.0,0.9201768863203786,,2198.248,,0.9201768863203786,HTI
562,2800.3810000000003,162,2564.309,98.0,0.9157000422442517,115.113,2800.3810000000003,-0.945191743552038,0.9157000422442517,NER
258,10.448,18,9.548,13.0,0.9138591117917304,,10.448,,0.9138591117917304,PYF
140,265.431,22,239.466,17.0,0.902177967155306,137.68099999999998,265.431,-0.30839025333639747,0.902177967155306,CAF
776,3.386,15,3.036,9.0,0.8966331955109273,,3.386,,0.8966331955109273,TON
222,11906.673999999999,342,10670.051,242.0,0.8961403495216212,255.26399999999998,11906.673999999999,-0.971415023204633,0.8961403495216212,SLV
60,125.77,18,112.215,13.0,0.8922239007712491,,125.77,,0.8922239007712491,BMU
162,2.691,10,2.3819999999999997,7.0,0.8851727982162764,,2.691,,0.8851727982162764,CXR
654,60.796,38,53.37,30.0,0.8778538061714586,,60.796,,0.8778538061714586,SHN
28,10.195,13,8.886000000000001,10.0,0.8716037273173125,,10.195,,0.8716037273173125,ATG
178,3081.836,85,2646.549,55.0,0.858757247303231,19.422,3081.836,-0.9915972167240567,0.858757247303231,COG
788,539912.715,2206,460639.006,1443.0,0.8531731022485737,53529.885,539912.715,-0.867806076765575,0.8531731022485737,TUN
292,51.495999999999995,26,43.239000000000004,21.0,0.839657449122262,,51.495999999999995,,0.839657449122262,GIB
20,1291.568,362,1070.316,313.0,0.8286950435439714,363.503,1291.568,-0.6247424319380268,0.8286950435439714,AND
36,2757171.393,3585,2280677.3819999998,1973.0,0.8271801266291463,154466.144,2757171.393,-0.9253021197051616,0.8271801266291463,AUS
104,502356.881,1038,414528.551,794.0,0.8251674589881849,86328.184,502356.881,-0.7708715662375224,0.8251674589881849,MMR
408,5760.312,216,4645.191,130.0,0.8064130901242849,,5760.312,,0.8064130901242849,PRK
690,2965.791,81,2364.6749999999997,37.0,0.7973168035104293,213.93900000000002,2965.791,-0.9038192509182205,0.7973168035104293,SYC
772,19.252,46,14.894,35.0,0.7736339081653855,,19.252,,0.7736339081653855,TKL
414,16800.257,239,12877.088000000002,169.0,0.7664816079896873,3893.003,16800.257,-0.6910362343464944,0.7664816079896873,KWT
214,128266.311,645,97037.49399999999,342.0,0.7565314168893498,7369.115000000001,128266.311,-0.9233977605649961,0.7565314168893498,DOM
520,38.919000000000004,14,29.438000000000002,8.0,0.7563914797399728,,38.919000000000004,,0.7563914797399728,NRU
410,32853443.391,10171,24433104.319,4815.0,0.7436999534025496,16973985.778,32853443.391,-0.3111230147786205,0.7436999534025496,KOR
780,8461.462,110,6199.738,40.0,0.7327029300610226,,8461.462,,0.7327029300610226,TTO
212,125.435,47,91.628,33.0,0.7304819229082792,,125.435,,0.7304819229082792,DMA
232,404.454,26,294.846,21.0,0.7289976115948908,,404.454,,0.7289976115948908,ERI
96,21.887,27,15.695,20.0,0.7170923379174853,,21.887,,0.7170923379174853,BRN
729,2953.355,71,2078.925,43.0,0.7039197793695645,,2953.355,,0.7039197793695645,SDN
862,2835.112,53,1956.2089999999998,25.0,0.6899935522829432,,2835.112,,0.6899935522829432,VEN
192,66881.317,214,45766.418,121.0,0.6842930141462376,2388.316,66881.317,-0.9523869822519594,0.6842930141462376,CUB
344,2673166.923,5381,1824751.813,2828.0,0.6826179829249668,6527563.858,2673166.923,2.255845492643534,0.6826179829249668,HKG
694,1608.201,350,1083.076,229.0,0.6734705425503404,,1608.201,,0.6734705425503404,SLE
706,480.067,61,321.819,41.0,0.6703626785427867,,480.067,,0.6703626785427867,SOM
180,1437.844,97,957.726,62.0,0.6660847769299033,3.701,1437.844,-0.9965680096959986,0.6660847769299033,COD
702,2748983.9329999997,4244,1827506.515,2327.0,0.6647934507953343,423091.494,2748983.9329999997,-0.7947889090117864,0.6647934507953343,SGP
92,460.13800000000003,55,296.108,32.0,0.6435199874820162,,460.13800000000003,,0.6435199874820162,VGB
608,1716089.599,2578,1094842.896,1496.0,0.6379870238931504,158693.98,1716089.599,-0.8767010921477338,0.6379870238931504,PHL
764,6923944.3149999995,6384,4388312.598,3152.0,0.6337879680073656,2287767.963,6923944.3149999995,-0.5594480334869649,0.6337879680073656,THA
484,4298870.1,4003,2688455.276,2068.0,0.6253864884170378,34525.247,4298870.1,-0.9892916832572665,0.6253864884170378,MEX
480,32089.44,497,20064.557,388.0,0.6252697772226627,3110.529,32089.44,-0.8707558623646907,0.6252697772226627,MUS
466,9600.593,175,5954.183,109.0,0.6201890862366523,0.517,9600.593,-0.9999281988796594,0.6201890862366523,MLI
796,1.1059999999999999,6,0.6739999999999999,3.0,0.6094032549728753,,1.1059999999999999,,0.6094032549728753,TCA
16,56.36000000000001,26,32.612,13.0,0.578637331440738,,56.36000000000001,,0.578637331440738,ASM
