cohort,beta,se,pval,pct,nobs,n_treated
2016,-0.10368343142342774,0.1061018337759854,0.3284694207232084,-9.848935780600844,610009.0,366
2022,-0.6287278498972763,0.027785740934246572,0.0,-46.673023113173315,829728.0,31018
2023,-1.9235443117185562,0.12303017694571214,0.0,-85.39117388815133,618687.0,1663
IW_avg,-0.6880710132357748,0.026830311271749313,,-49.745546355539126,,33047
