category,event_time,beta,se,pval,pct
dual_use,-5,0.004114610712866067,0.02061758114827632,0.8418187766085394,0.4123087345552445
dual_use,-4,-0.014900533805806035,0.021091750145779867,0.4799019637234885,-1.4790070188174242
dual_use,-3,-0.012600573219621113,0.021519819582273104,0.5581903123720391,-1.2521518390646857
dual_use,-2,-0.050949622853215824,0.021389227509966226,0.017219529414220558,-4.967345593364591
dual_use,0,-0.602437522934865,0.03511149889391654,0.0,-45.252447579264555
dual_use,1,-1.6145764789287471,0.05066276374974671,0.0,-80.10250773293352
dual_use,2,-1.7044752025614964,0.06463615837770023,0.0,-81.81321951064174
industrial_cap,-5,0.024418894941314877,0.026699208095044325,0.36040785968962674,2.4719477803406553
industrial_cap,-4,0.06866147199957956,0.027254807350965197,0.011762337217623875,7.107355937789928
industrial_cap,-3,0.045670444839268104,0.028024016375980038,0.10317035652046957,4.672939903448836
industrial_cap,-2,0.07883364465274514,0.02771066999262239,0.0044436794700020155,8.20243065682018
industrial_cap,0,-0.8037502856734493,0.04691328449674243,0.0,-55.2352991980303
industrial_cap,1,-2.594845690547165,0.11038907665306678,0.0,-92.53426044725136
industrial_cap,2,-2.6248790232682966,0.17968763034854784,0.0,-92.75514789105844
luxury,-5,-0.03759690129141214,0.019496892893783965,0.05381378953922855,-3.6898912540151874
luxury,-4,-0.08727186468360115,0.020392733765494452,1.874266427748239e-05,-8.357208262249793
luxury,-3,-0.044339502640409555,0.02068793922228817,0.03209495620257985,-4.337087577827248
luxury,-2,0.012605936350649431,0.0208126007824652,0.5447234233093745,1.2685726088573546
luxury,0,0.11947307055389134,0.03574711224346787,0.0008315309890534195,12.690289678776123
luxury,1,0.1400960447393079,0.04508619961084492,0.0018885790262417324,15.038428190994434
luxury,2,0.28536552230574325,0.04821619856598528,3.259504222086207e-09,33.024817464736934
military_tech,-5,-0.013282677484806521,0.06580652157653608,0.8400388542442176,-1.3194852006759072
military_tech,-4,0.09189715404117356,0.06641907459985254,0.166485859898166,9.625207118755274
military_tech,-3,0.04625310735260222,0.06939628940522163,0.5050889377461862,4.733946673143974
military_tech,-2,-0.08518008334967757,0.06630006909070565,0.19887750025221673,-8.16531094746491
military_tech,0,-0.3144280942020085,0.11440482177789259,0.00599028361440368,-26.97936358713826
military_tech,1,-0.5125830440573673,0.1491607875395821,0.0005896790747765834,-40.10535261595473
military_tech,2,-0.715422452801681,0.169910820890839,2.5498025586268014e-05,-51.10145051358332
ALL,-5,-0.008890899345685219,0.014797865581360422,0.547958711518937,-0.8851492174971942
ALL,-4,-0.021941755256521058,0.015315172636679393,0.1519510926171863,-2.1702785937890767
ALL,-3,-0.007170470078602418,0.015619321851070109,0.6461795856576731,-0.7144823593756899
ALL,-2,-0.0002431281233048979,0.015534567842819334,0.98751301343209,-0.024309857005788693
ALL,0,-0.380023042321254,0.02616658805925694,0.0,-31.615434836038226
ALL,1,-0.854672830265979,0.036688715417981826,0.0,-57.45776463655696
ALL,2,-0.6352815835043946,0.04233416073093431,0.0,-47.021371176720784
