spec,beta,se,pval,pct,nobs
Clean categories OLS (dual_use+military),-1.0407438635167194,0.0333449576168993,0.0,-64.68081423191278,728849
"Clean categories PPML (dual_use+military, Top50)",-0.4099137367857569,0.10050464315541116,4.531643995031587e-05,-33.62924987906754,613856
Violated categories OLS (industrial_cap+luxury),-0.2303576180548773,0.029775314341705883,1.021405182655144e-14,-20.57504862574652,813287
