spec,beta,se,pval,pct,nobs
Coalition→Gateway (sanc×post),0.10238123278815327,0.003942988098410721,0.0,10.78057230993348,3114558
Coalition→Gateway (staggered),0.10255894129482059,0.0038784496500625307,0.0,10.80026070935265,3114558
Coalition→Non-Gateway PLACEBO,0.05892317597544011,0.003087597934793189,0.0,6.069375084724271,4854632
Pooled: Gateway×sanc_post (hs6_year FE),0.19005638384029583,0.003508338786770777,0.0,20.931778171566506,7969076
