spec,beta,se,pval,pct,nobs
All luxury codes,0.19496078878637133,0.0340207215557446,1.0031239394692193e-08,21.526333360528405,698487
Luxury-only (excl multi-cat),0.20917215664467123,0.03414042332593406,8.996321465559731e-10,23.2657190390539,696017
Luxury quantity,0.2831182410373408,0.02599674195149534,0.0,32.72620893856071,681316
