hs6,cg_pre,cg_post,gr_pre,gr_post,cg_change,gr_change
060110,96398.89600000001,161277.65866666668,223.60833333333335,2245.677666666667,0.5146285452717336,2.3028496667547245
060120,5246.84,19281.953666666668,95.419,623.5113333333334,1.3014049125551246,1.8682661996211456
060230,8132.230666666666,6260.561333333334,4.736999999999999,60.50733333333334,-0.2615286523166169,2.3722199832764845
060240,3097.8806666666665,4435.432666666667,377.14300000000003,969.9153333333334,0.358809629030052,0.9429668382004275
071080,6692.144333333334,11197.101333333334,24278.79566666667,25089.780333333332,0.5146604714157856,0.03285591081287187
200190,7110.553,9485.463666666667,27982.78066666667,7375.112666666667,0.2881452605928718,-1.3333783195308087
210390,146302.93666666668,186148.20200000002,15506.233333333332,25411.594,0.24086229760050593,0.49393829617782536
210410,12286.447999999999,11410.096666666666,1658.441,1712.1203333333333,-0.07399197974659089,0.03183566533606008
210420,7291.420333333333,8198.015,6.273666666666666,54.46933333333333,0.11717852686947694,2.0315697952855345
210610,68302.04000000001,92923.14966666668,8845.937333333333,10380.353333333333,0.3078292902895736,0.15993991307726318
210690,2441894.249,3472299.195333333,51430.700000000004,153883.26333333334,0.3520427756589779,1.0959460691938396
220300,564398.2276666666,569553.5516666666,17493.79766666667,31537.465333333337,0.009092715440445431,0.5893043620183462
220410,138486.19833333333,211095.621,694.5673333333334,4118.820333333333,0.421538057545094,1.7788370134565454
220421,995727.5323333334,934713.1736666667,134492.445,182091.85733333335,-0.06323387659492141,0.30300130029984373
220429,31133.055999999997,26770.665333333334,1306.927,268.63433333333336,-0.15095820375100644,-1.5791319999729474
220510,10434.423333333334,10954.918666666666,151.79766666666666,26.915,0.0486737194338005,-1.6999504273473924
220600,84531.36833333333,98385.97633333334,9535.263666666668,12257.867333333334,0.15177392274789625,0.25114777952391876
220710,78164.74166666667,34998.45566666667,56.961666666666666,13.733,-0.8034989564719837,-1.3696919967773722
220820,982513.2633333332,1207757.6286666666,225149.405,349698.4143333333,0.20640668679788376,0.440305323752316
220830,629753.277,1102697.328,1273.9456666666667,22118.71933333333,0.5601857736916394,2.8535659248838634
220840,19364.445333333333,30885.839666666667,362.93100000000004,1559.688,0.4668398829092357,1.4559177394330547
220850,30199.101,59647.52866666667,5.559333333333334,323.621,0.6806242133857694,3.9017693762216368
220890,220290.7383333333,256283.0593333333,7703.145,10941.407,0.15133368487809307,0.35088729536470886
240210,21171.746333333333,27257.376,131.7686666666667,331.00233333333335,0.25264604569084526,0.91653373157612
240290,48.59133333333333,274.9026666666667,0.073,623.775,1.7162320592333993,6.366933121272283
250840,27962.158,34271.64466666667,173.98300000000003,1295.4753333333333,0.20345964633551716,2.0027157528683377
250870,5614.7626666666665,11108.714999999998,21.780999999999995,597.4243333333333,0.6822425451356526,3.268373234614562
250900,963.3089999999999,1815.3776666666665,163.39033333333336,72.13233333333334,0.633187721097551,-0.8099730957936115
251200,14102.488666666666,14005.206666666665,1166.7826666666667,3992.5920000000006,-0.006921625242501506,1.2295842825128478
251512,204441.40066666668,152888.17266666668,641.7423333333332,801.1460000000001,-0.29057297921771585,0.22154671802518688
251520,34182.67833333334,59014.013333333336,25.5355,375.99649999999997,0.5460435863751805,2.653752444445459
251820,2080.9410000000003,1768.521,4.843666666666667,9.066333333333334,-0.16259174316262381,0.543838068878072
251910,284.04,106.18900000000001,1016.1933333333333,7.435333333333333,-0.9780358898661428,-4.792373246488609
252010,3143.767,4815.149,196.37199999999999,382.7676666666667,0.42623484450878557,0.6649470617911932
252100,1060.7896666666668,229.19433333333333,58.29,97.92433333333334,-1.5287872484913194,0.5119145904173816
252210,932.0063333333334,968.5683333333333,1384.0576666666666,229.98733333333334,0.03843896630283883,-1.7911341793735733
