category,beta,se,pval,pct_effect,nobs
dual_use,-1.1070425444595253,0.03460657914514832,0.0,-66.9464940276746,710077
industrial_cap,-1.319517065457823,0.04542214178770228,0.0,-73.27356580129616,643601
luxury,0.19496078878637133,0.0340207215557446,1.0031239394692193e-08,21.526333360528405,698487
military_tech,-0.4170511618942951,0.10012350845766867,3.11155208199132e-05,-34.10127959520318,547591
