spec,beta,se,pval,pct,nobs,n_zeros
A: Unbalanced (positive-only),-0.47260996587714627,0.08871209665099526,9.95968185701912e-08,-37.662683942810894,842264,0
B: Balanced (with zeros),-0.6805167365797676,0.09311008379365877,2.69562150378988e-13,-49.364472754034935,1371873,548959
C: Balanced OLS ln(v+1),-0.9066653814244312,0.020053623020165688,0.0,-59.61312707516253,1410980,548959
