spec,beta,se,pval,pct,nobs,time_s
PPML Top-50 T1 value,-0.47260996587714627,0.08871209665099526,9.95968185701912e-08,-37.662683942810894,842264,422.7471880912781
PPML Top-100 T1 value,-0.45379098920400796,0.08479914062908467,8.729418099484576e-08,-36.478451373355135,998078,1344.4417307376862
