event_time,beta,se,pval,pct_effect,ci_lower,ci_upper
-5,0.03828120986618098,0.018914335326901312,0.04297947969666449,3.9023375424251494,0.0012091126254544088,0.07535330710690755
-4,0.015160239164720328,0.01886888242515162,0.4217148086481286,1.5275738518306659,-0.021822770388576843,0.052143248718017496
-3,0.02539949616399168,0.017574784462100448,0.14839703333193976,2.5724811811560944,-0.009047081381725195,0.059846073709708555
-2,0.029859490699464173,0.015531849592467837,0.05454864263042314,3.0309755679302386,-0.0005829345017727867,0.060301915900701136
-1,0.0,0.0,1.0,0.0,0.0,0.0
0,-0.404122207459157,0.02515127293436861,0.0,-33.24374648374355,-0.45341870241051946,-0.35482571250779454
1,-0.7566205216645444,0.036363114228100776,0.0,-53.07504308412325,-0.8278922255516219,-0.6853488177774669
2,-0.5757706771497052,0.04018711024859445,0.0,-43.77286279129974,-0.6545374132369504,-0.4970039410624601
